review_id,user_suggestion
1,0
2,1
3,1
4,1
6,1
10,1
13,0
20,1
22,1
23,1
29,1
30,1
31,1
33,1
36,1
38,0
40,0
41,1
45,1
54,1
57,1
58,1
59,1
62,1
63,1
66,1
69,1
72,1
73,1
75,0
78,1
80,1
82,1
83,1
84,1
86,1
88,1
91,0
96,0
97,1
100,1
101,1
103,1
106,0
107,1
108,1
109,1
112,1
118,0
120,1
121,1
122,0
123,1
124,1
125,1
126,1
128,1
129,1
141,1
142,1
143,1
146,0
147,1
153,1
154,1
156,1
157,0
161,1
162,1
163,0
164,0
169,0
173,0
174,1
175,0
180,0
182,1
187,0
188,0
189,1
190,1
192,1
193,1
196,1
198,1
199,1
200,1
212,1
213,1
219,1
221,1
224,1
227,1
229,0
234,0
238,1
243,1
245,1
247,1
248,1
250,1
252,1
253,1
255,1
260,1
261,1
263,1
264,1
265,1
268,1
270,0
276,1
279,0
281,1
286,0
291,1
294,1
295,1
297,1
299,1
301,1
303,0
304,1
305,1
308,1
309,0
310,1
313,1
314,1
315,1
316,1
317,1
319,1
320,1
321,1
323,1
332,1
333,1
334,1
335,1
336,1
338,1
340,1
341,1
342,1
344,1
346,1
347,1
350,1
354,1
357,1
359,1
361,1
364,1
365,1
366,1
367,1
369,1
370,0
371,1
375,1
377,0
379,0
380,1
382,1
384,1
385,1
386,1
389,0
391,1
395,1
398,1
399,0
402,1
406,0
410,1
411,1
414,1
415,1
416,0
420,1
421,0
424,1
427,1
430,1
435,1
438,0
439,1
442,0
443,1
444,1
446,0
450,1
452,1
463,0
464,1
465,0
468,0
469,1
471,1
472,0
474,1
476,1
477,0
479,0
481,0
482,1
484,0
485,1
489,1
492,1
495,1
497,1
498,1
502,1
505,1
507,1
508,1
510,1
511,1
512,1
515,1
516,0
517,1
519,1
521,1
522,0
523,1
524,1
525,0
528,1
529,1
532,1
533,1
535,1
537,0
540,0
543,0
545,1
547,1
553,1
554,1
556,1
558,1
559,1
560,1
561,0
562,0
563,1
564,0
567,0
570,1
573,0
576,0
577,1
578,1
584,1
588,1
590,1
597,1
600,1
602,1
603,1
610,0
612,1
617,0
618,1
620,0
623,1
624,1
625,1
629,1
631,1
633,0
635,1
636,0
637,0
640,1
641,0
642,0
643,0
644,0
646,0
650,1
652,1
656,0
659,1
661,1
662,1
663,0
664,0
667,1
671,1
673,1
674,1
676,1
678,0
683,1
687,0
688,0
694,0
696,1
699,0
703,0
707,1
708,1
710,0
711,1
714,0
715,1
717,0
718,0
720,1
723,0
730,1
732,0
733,1
734,1
738,1
739,1
744,0
746,0
755,0
758,0
759,1
765,1
768,0
771,0
772,0
775,0
779,0
780,0
782,1
783,0
785,0
786,0
788,0
795,1
797,1
798,0
799,1
800,0
809,1
810,1
812,1
819,1
826,1
828,1
830,1
832,1
833,0
834,1
836,0
837,1
839,1
840,0
841,0
842,0
843,0
845,1
847,1
848,1
849,0
857,1
860,1
866,1
867,1
871,0
879,0
881,1
883,1
884,0
887,0
890,0
892,1
895,1
896,1
897,1
898,1
904,1
905,1
910,1
915,0
916,1
918,1
919,1
921,1
922,1
924,1
925,1
928,1
929,1
933,1
935,1
938,1
940,1
942,0
944,1
946,0
949,0
952,1
958,0
961,1
966,1
967,1
968,1
970,1
971,1
972,0
976,1
979,1
983,1
984,1
985,1
988,1
989,1
994,0
1002,1
