review_id,user_suggestion
1,1
2,1
3,1
4,1
6,1
10,1
13,1
20,1
22,1
23,1
29,1
30,1
31,1
33,1
36,0
38,1
40,1
41,0
45,1
54,1
57,1
58,1
59,1
62,1
63,1
66,1
69,1
72,1
73,1
75,1
78,1
80,1
82,1
83,0
84,1
86,1
88,1
91,1
96,1
97,1
100,0
101,1
103,0
106,1
107,1
108,1
109,1
112,1
118,1
120,1
121,1
122,0
123,1
124,0
125,1
126,1
128,1
129,1
141,1
142,1
143,0
146,1
147,1
153,1
154,1
156,1
157,1
161,1
162,1
163,1
164,0
169,1
173,1
174,1
175,1
180,0
182,0
187,1
188,1
189,1
190,0
192,1
193,1
196,1
198,1
199,1
200,1
212,0
213,1
219,0
221,1
224,1
227,1
229,1
234,0
238,1
243,1
245,0
247,1
248,1
250,1
252,1
253,1
255,1
260,1
261,1
263,1
264,1
265,1
268,1
270,0
276,1
279,1
281,1
286,1
291,1
294,1
295,1
297,0
299,0
301,1
303,1
304,1
305,1
308,1
309,1
310,1
313,1
314,1
315,0
316,1
317,1
319,1
320,1
321,1
323,1
332,1
333,1
334,1
335,0
336,1
338,0
340,1
341,1
342,1
344,1
346,1
347,1
350,1
354,1
357,1
359,1
361,1
364,1
365,1
366,0
367,1
369,0
370,1
371,1
375,1
377,1
379,1
380,1
382,1
384,1
385,1
386,1
389,0
391,1
395,1
398,1
399,1
402,1
406,1
410,1
411,1
414,1
415,1
416,1
420,0
421,1
424,0
427,1
430,1
435,0
438,1
439,1
442,0
443,0
444,1
446,1
450,1
452,0
463,0
464,0
465,1
468,1
469,1
471,0
472,1
474,0
476,1
477,0
479,0
481,1
482,1
484,1
485,0
489,1
492,1
495,1
497,0
498,1
502,1
505,1
507,0
508,0
510,0
511,0
512,0
515,1
516,1
517,1
519,0
521,1
522,1
523,1
524,1
525,0
528,1
529,1
532,1
533,0
535,0
537,1
540,1
543,0
545,1
547,1
553,1
554,1
556,1
558,0
559,0
560,1
561,1
562,1
563,0
564,0
567,0
570,1
573,1
576,0
577,1
578,1
584,1
588,1
590,0
597,1
600,1
602,0
603,0
610,1
612,1
617,1
618,1
620,1
623,0
624,1
625,1
629,1
631,1
633,0
635,1
636,1
637,1
640,1
641,1
642,1
643,1
644,1
646,1
650,1
652,1
656,0
659,1
661,0
662,0
663,0
664,0
667,1
671,0
673,0
674,0
676,1
678,0
683,1
687,0
688,1
694,1
696,1
699,0
703,1
707,1
708,0
710,1
711,0
714,1
715,0
717,1
718,1
720,1
723,1
730,0
732,1
733,1
734,1
738,1
739,1
744,1
746,0
755,1
758,1
759,1
765,1
768,0
771,1
772,1
775,1
779,1
780,0
782,1
783,0
785,1
786,1
788,1
795,1
797,1
798,1
799,1
800,1
809,1
810,1
812,1
819,1
826,1
828,1
830,1
832,1
833,1
834,0
836,0
837,1
839,0
840,0
841,0
842,0
843,1
845,0
847,1
848,0
849,0
857,0
860,1
866,1
867,0
871,1
879,0
881,1
883,1
884,1
887,1
890,1
892,1
895,0
896,1
897,1
898,1
904,1
905,1
910,1
915,1
916,1
918,1
919,1
921,1
922,1
924,1
925,1
928,1
929,1
933,1
935,1
938,1
940,1
942,0
944,1
946,1
949,1
952,1
958,1
961,1
966,1
967,1
968,1
970,1
971,1
972,1
976,1
979,1
983,1
984,0
985,1
988,1
989,0
994,1
1002,1
1005,1
1007,0
1008,1
1009,1
1012,1
1013,1
1014,1
1023,1
1026,1
1027,1
1028,1
1029,1
1030,1
1032,1
1034,1
1036,1
1038,1
1040,0
1042,1
1046,0
1050,1
1052,1
1053,1
1055,1
1057,1
1059,1
1060,0
1065,1
1067,1
1070,1
1071,1
1074,1
1077,1
1087,1
1089,1
1091,1
1092,1
1095,1
1101,0
1102,1
1110,1
1111,1
1117,1
1120,1
1123,1
1128,1
1129,1
1133,1
1134,1
1137,1
1138,1
1140,1
1142,1
1143,1
1144,1
1146,1
1149,0
1150,1
1152,1
1155,1
1158,1
1161,1
1166,1
1167,1
1176,0
1177,1
1179,1
1181,1
1183,1
1184,1
1187,1
1188,1
1189,1
1191,1
1193,1
1194,1
1201,1
1203,1
1204,1
1205,1
1206,1
1210,1
1211,1
1219,1
1221,1
1224,1
1230,1
1231,1
1232,1
1237,1
1241,1
1247,0
1249,1
1250,1
1251,1
1252,1
1254,1
1255,1
1257,1
1263,1
1264,0
1265,1
1270,0
1272,1
1273,1
1274,1
1277,0
1279,1
1280,1
1281,1
1283,1
1284,1
1287,1
1288,1
1290,1
1292,1
1295,1
1298,1
1300,1
1305,1
1308,1
1310,0
1315,1
1316,1
1323,0
1324,1
1325,0
1327,1
1331,1
1334,1
1335,1
1337,1
1338,1
1347,1
1348,1
1349,1
1350,1
1358,1
1359,1
1361,1
1369,0
1372,1
1374,1
1375,1
1376,1
